,mean,std
ASCC NO REGULADO,760.4305147506084,141.34836151989134
ASCC REGULADO,1926.851240495742,602.4612444356374
BIAC NO REGULADO,,
BIAC REGULADO,721.7092769607843,753.9927332478286
CASC NO REGULADO,885.4073562956205,485.8228915658486
CASC REGULADO,54846.78433432178,8536.917494785426
CBNC NO REGULADO,7849.0344586374695,2991.3408048652027
CDNC NO REGULADO,5276.321440085158,3860.782932637935
CDNC REGULADO,83661.84152828468,22994.906863802742
CDSC NO REGULADO,21945.03952902964,22004.72950395488
CDSC REGULADO,1159739.7197843078,285722.18287082383
CEOC NO REGULADO,9037.116090328467,2692.6066068025643
CEOC REGULADO,73716.22698106752,16626.848584628504
CETC NO REGULADO,5141.159130170316,1720.778138867589
CETC REGULADO,19122.747756995133,4316.933764542557
CHCC REGULADO,110140.7028379714,26055.02071255579
CHVC NO REGULADO,75783.98302995742,17238.8252112333
CMMC NO REGULADO,102646.1996664639,19303.1672454062
CMMC REGULADO,848517.0235264599,97442.80281789067
CMXC NO REGULADO,16830.571469738443,6532.062492158137
CNCC CONSUMOS,52001.207338541666,113737.87751279878
CNSC REGULADO,177939.1215229623,25595.983561902194
CQTC REGULADO,30037.515250912413,7197.751497781947
CSSC NO REGULADO,97424.83339416058,18909.429455665275
CSSC REGULADO,835840.3162459449,86154.48596636536
CTIC REGULADO,18224.739959546925,3740.4684317011133
DCLC NO REGULADO,18824.684234336983,4498.799274424087
DCLC REGULADO,37361.168516195256,13764.502162920911
DLRC NO REGULADO,1307.2140058546229,438.36371799196763
DLRC REGULADO,3342.857124011557,1114.6436169659798
DRUC NO REGULADO,3695.67375,4168.117711702343
EBPC REGULADO,8658.887613670924,2437.6446930164793
EBSC NO REGULADO,10521.956350745135,5498.718405903387
EBSC REGULADO,92187.58628117396,21795.686604006376
ECGC NO REGULADO,1059.2658058375634,1059.2908978054434
ECTC NO REGULADO,281148.12012222223,42851.08038194484
EDIC NO REGULADO,158837.93949209244,27423.39048241651
EDIC REGULADO,1666149.6155869828,181106.52020556817
EDPC REGULADO,27150.876649559003,5421.818603478877
EDQC REGULADO,49876.73314134733,11612.883286273775
EEPC NO REGULADO,18529.071390282847,5405.4071257488085
EEPC REGULADO,68503.13932785888,16786.020004908725
EGVC REGULADO,7909.951535507908,1642.7249249595384
EMEC NO REGULADO,1806.389754790146,642.4302329609317
EMEC REGULADO,815.0607694647202,375.30710951226274
EMIC NO REGULADO,92187.66361618006,13705.12599019038
EMIC REGULADO,261927.50482017943,61218.39484836257
EMPC REGULADO,1322.2224790906325,345.2726773218039
EMSC NO REGULADO,15099.161588731753,4955.946162475911
EMSC REGULADO,113113.32835462286,23089.07981194494
ENBC REGULADO,312.89451291079814,421.83579745437044
ENDC NO REGULADO,471988.5508732512,84247.9361021669
ENDC REGULADO,917841.4085861034,569034.4786457175
ENIC REGULADO,32085.598950335163,5870.332238081712
EPIC REGULADO,121167.40437727688,23487.659499136575
EPMC NO REGULADO,516853.1357960766,84298.70108746197
EPMC REGULADO,795073.9601258363,174924.9016559919
EPSC NO REGULADO,160164.7168289994,31491.05269115018
EPSC REGULADO,233767.20145567216,75267.77494237285
EPTC REGULADO,8008.840916970804,2144.313000384183
ESOC REGULADO,553.940564159292,135.10884660978337
ESPC NO REGULADO,101.42047976352887,93.54278238794055
ESSC REGULADO,253255.75190047143,43331.13641276317
ESVC REGULADO,,
ETTC NO REGULADO,10410.43063754562,4612.544885549928
ETTC REGULADO,19732.247349072382,5993.376233530375
EVSC REGULADO,1465.8406014294403,442.8067628244657
EXEC REGULADO,512.9065633074936,429.89040292198825
FERC NO REGULADO,,
FREC NO REGULADO,8506.500602569951,3388.3717615175383
GAPC NO REGULADO,7585.971715182649,1496.6662232531726
GECC NO REGULADO,48358.18366180048,112953.09768411197
GNCC NO REGULADO,17925.66686169404,4790.136014012383
GNCC REGULADO,122832.94216278891,40003.92463074583
GNYC NO REGULADO,1177.2980896464646,1346.346795547364
GSAC NO REGULADO,24.502154320987653,54.77821836413653
HIMC REGULADO,1094.668409957304,293.31849982034026
HLAC NO REGULADO,16581.82438868613,3719.811596873359
HLAC REGULADO,95564.87238899028,18998.13008521892
ISGC NO REGULADO,442160.9170232664,58284.64264546928
ITLC NO REGULADO,12216.487277600367,3076.103866031237
ITLC REGULADO,,
LESC NO REGULADO,4294.977921608881,695.1916078043124
NEUC REGULADO,7901.224651532138,11276.62983327545
NMRC NO REGULADO,992.2119663278271,607.0446086638308
NMRC REGULADO,262.8827197588487,205.71640434420792
NRCC NO REGULADO,766.6427891879132,402.7160339840661
NRCC REGULADO,7688.585176399027,2814.526896958361
PEEC NO REGULADO,3084.157890815085,717.6318326292159
PEEC REGULADO,14999.031747262774,5748.521922146479
QIEC NO REGULADO,1970.5847549882626,1256.7696730892067
QIEC REGULADO,13955.790292350972,8087.230509613217
RPEC NO REGULADO,1544.8661165751753,2473.376249126067
RQEC NO REGULADO,152.79570255474454,222.55200192702173
RTAC NO REGULADO,8205.930895681266,2552.1062072149675
RTAC REGULADO,15781.399382490637,5184.336713429684
RTQC NO REGULADO,14339.14317062044,2998.889579371569
RTQC REGULADO,4640.170899482969,1950.9825088612192
SCEC NO REGULADO,,
SCEC REGULADO,40.957098651960784,31.50306813092713
SOEC NO REGULADO,137143.73713959855,34296.33438425679
TENC REGULADO,3309.8322796803654,882.2953260268023
TESC REGULADO,,
TPLC NO REGULADO,6058.730882755475,4094.4042843407924
TPLC REGULADO,855.2886754587155,450.08564023332076
TRPC NO REGULADO,131.7770843776107,301.0134708589018
UNGC REGULADO,0.8420401234567901,0.801349116052121
